"filename", "language", "PHP", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\Funcionespredefinidas.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\15-Ejercicios\Ejercicio1Y2.php", "PHP", 44, 0, 0, 0, 13, 19, 76
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\15-Ejercicios\Ejercicio3.php", "PHP", 9, 0, 0, 0, 4, 3, 16
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\15-Ejercicios\Ejercicio4.php", "PHP", 18, 0, 0, 0, 6, 3, 27
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\15-Ejercicios\Ejercicio5Parte1.php", "PHP", 2, 0, 0, 0, 1, 3, 6
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\15-Ejercicios\Ejercicio5Parte2.php", "PHP", 2, 0, 0, 0, 1, 0, 3
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\ejercicios\EjercicioURL$_GET.php", "PHP", 28, 0, 0, 0, 91, 4, 123
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\01PHP_Curso_FullStack\PHP\funciones\funciones.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\01_Sintaxis\sintaxis.php", "PHP", 36, 0, 0, 0, 15, 12, 63
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\02_Comentarios\comentarios.php", "PHP", 9, 0, 0, 0, 9, 3, 21
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\03_Variables\variables.php", "PHP", 36, 0, 0, 0, 14, 15, 65
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\04_Eco_Imprimir\echo.php", "PHP", 14, 0, 0, 0, 15, 5, 34
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\05_TiposDatos\tiposDatos.php", "PHP", 37, 0, 0, 0, 57, 24, 118
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\06_Cadenas(String)\01_strings.php", "PHP", 28, 0, 0, 0, 28, 16, 72
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\06_Cadenas(String)\funciones_String\02_strlen.php", "PHP", 4, 0, 0, 0, 4, 1, 9
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\02PHP_Curso_IA_W3School\01_Tutorial_PHP\06_Cadenas(String)\funciones_String\03_str_word_count.php", "PHP", 4, 0, 0, 0, 1, 1, 6
