Date : 2025-01-07 11:07:53
Directory : c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion
Total : 2536 files,  610187 codes, 19157 comments, 21748 blanks, all 651092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Zip                |         25 |    427,392 |          0 |      2,675 |    430,067 |
| JSON               |         67 |     93,326 |          2 |         46 |     93,374 |
| CSS                |        198 |     24,902 |      3,495 |      3,642 |     32,039 |
| Java               |        650 |     18,947 |      7,979 |      7,726 |     34,652 |
| HTML               |        389 |     14,459 |        648 |      1,685 |     16,792 |
| JavaScript         |        485 |     12,362 |      3,178 |      3,343 |     18,883 |
| XML                |        221 |      6,711 |          8 |         28 |      6,747 |
| PHP                |        172 |      6,150 |      1,590 |      1,000 |      8,740 |
| C#                 |        250 |      4,169 |      1,945 |      1,129 |      7,243 |
| SCSS               |         42 |      1,156 |        290 |        276 |      1,722 |
| Markdown           |          5 |        140 |          0 |        119 |        259 |
| Python             |          2 |        112 |          9 |         17 |        138 |
| MS SQL             |          2 |         90 |         10 |         11 |        111 |
| TypeScript         |          6 |         86 |          0 |         23 |        109 |
| Ini                |         13 |         75 |          0 |         13 |         88 |
| EditorConfig       |          4 |         52 |          0 |          4 |         56 |
| JSON with Comments |          2 |         46 |          1 |          1 |         48 |
| C++                |          1 |         10 |          0 |          8 |         18 |
| log                |          1 |          2 |          0 |          1 |          3 |
| Properties         |          1 |          0 |          2 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                                           |      2,536 |    610,187 |     19,157 |     21,748 |    651,092 |
| 01JS_Curso0aExperto_udemy                                                                                                                                                                                                                                   |        149 |      3,888 |        456 |        772 |      5,116 |
| 01JS_Curso0aExperto_udemy\JS                                                                                                                                                                                                                                |        149 |      3,888 |        456 |        772 |      5,116 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios                                                                                                                                                                                                                     |         18 |      1,129 |        127 |        247 |      1,503 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora                                                                                                                                                                                            |          2 |        137 |          1 |         18 |        156 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora (Files)                                                                                                                                                                                    |          1 |         47 |          0 |          3 |         50 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora2                                                                                                                                                                                           |          2 |        134 |          1 |         19 |        154 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora2 (Files)                                                                                                                                                                                   |          1 |         47 |          0 |          3 |         50 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora2\js                                                                                                                                                                                        |          1 |         87 |          1 |         16 |        104 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\25_AplicacionCalculadora\js                                                                                                                                                                                         |          1 |         90 |          1 |         15 |        106 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\Ejercicio_Herencia                                                                                                                                                                                                  |          6 |        203 |          7 |         58 |        268 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\Ejercicios_Libre                                                                                                                                                                                                    |          1 |         60 |          0 |          5 |         65 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\Sistema de ventas                                                                                                                                                                                                   |          3 |        413 |        116 |        125 |        654 |
